Agency,Business,Evaluation Type,Evaluation Type1 (group),Evaluation Type1 (group) 1,Family/Household,Filter Funding recipient,Filter programs,Funding Flow,Funding Flow title,Funding Level1,Funding Recipient,Individual,Intended Population,Label for Funding Recipient,Local Government,MeasureLabel,Other,ProgCharBFilter,Program,Program Type,Recipient,Service Organization,State Government,Topic,Total Funding Label,Tribal Government,Updated Funding Recipient,Updated Program Description,number of programs
U.S. Department of Health and Human Services,0,Unsure,Unsure,Unsure,Family/Household,True,Category 2,Category 1,Funding Flow,"$23,975,000,000","Individual, Family/Household",Individual,Category 2,Funding Recipient,0,1,0,Unsure,Child Care Stabilization,Category 1,True,0,0,Lowering Barriers to Work and Providing Security to Working Families,Total Funding,0,"Individual, household. (The credit is received by the filing tax unit, which will be an individual for single filers, or a household for joint filers, which receives the credit based on joint earnings/adjusted gross income.)","In order to stabilize the child care industry after the disruption generated by the COVID-19 pandemic, Section 2202 of the American Rescue Plan (ARP) provided approximately $24 billion in funding for states, territories, and tribes to provide grants to eligible child care providers to keep them operating. The Child Care Stabilization grant program was a time-limited program; state, territory and tribal lead agencies were required to obligate all stabilization funds by September 30, 2022 and liquidate all funds by September 30, 2023. (The territories and most tribes received fiscal waivers to extend this timeline by one year.) Child care providers used these funds to cover any goods and services needed to maintain or resume child care service, including operating expenses such as personnel costs (e.g., wages and benefits) and rent and utilities, as well as the additional costs of navigating COVID-19 (e.g., personal protective equipment). ",1
U.S. Department of Health and Human Services,0,Outcome,Outcome,Outcome,Family/Household,True,Category 2,Category 1,Funding Flow,"$23,975,000,000","Individual, Family/Household",Individual,Category 2,Funding Recipient,0,1,0,Outcome,Child Care Stabilization,Category 1,True,0,0,Lowering Barriers to Work and Providing Security to Working Families,Total Funding,0,"Individual, household. (The credit is received by the filing tax unit, which will be an individual for single filers, or a household for joint filers, which receives the credit based on joint earnings/adjusted gross income.)","In order to stabilize the child care industry after the disruption generated by the COVID-19 pandemic, Section 2202 of the American Rescue Plan (ARP) provided approximately $24 billion in funding for states, territories, and tribes to provide grants to eligible child care providers to keep them operating. The Child Care Stabilization grant program was a time-limited program; state, territory and tribal lead agencies were required to obligate all stabilization funds by September 30, 2022 and liquidate all funds by September 30, 2023. (The territories and most tribes received fiscal waivers to extend this timeline by one year.) Child care providers used these funds to cover any goods and services needed to maintain or resume child care service, including operating expenses such as personnel costs (e.g., wages and benefits) and rent and utilities, as well as the additional costs of navigating COVID-19 (e.g., personal protective equipment). ",1
U.S. Small Business Administration,0,Implementation,Implementation,Implementation,0,True,Category 4,Category 1,Funding Flow,"$1,250,000,000","State Medicaid Agencies 

",0,Category 4,Funding Recipient,0,1,Other,Implementation,Community Navigator Pilot Program,Category 5,False,0,0,Ensuring an Equitable Recovery for all Communities and Small Businesses,Total Funding,0,"State Medicaid Agencies 

","Section 5004 of the American Rescue Plan (ARP) Act established the Community Navigator Pilot Program (CNPP). The CNPP seeks to engage states, local governments, U.S. Small Business Administration (SBA) resource partners, and other organizations in targeted outreach and technical assistance to small businesses in underserved communities to help them access COVID-19 pandemic programs and resources. 

The CNPP employs a “Hub and Spoke” service delivery model. The program offers funding to nonprofits, state and local governments, universities, and tribal entities to partner with SBA at the center of a hub and spoke network. Hubs are split into three tiers based on size: Tier 1) National level: Organizations supporting a minimum of five service areas (not within the same state), containing a population greater than 500,000; Tier 2) State/local level: Organizations supporting an individual state, region, municipality, or city with total service population of greater than or equal to 500,000; and Tier 3) Local level: Organizations supporting a region, municipality, city, tribal or rural community with total service population of less than 500,000.

These Hubs then support spoke organizations – trusted, culturally knowledgeable local groups and individuals – who will connect to specific sectors of the entrepreneurial community to provide assistance during economic recovery. Some Hubs are located within the same state or county as their Spokes, while some may serve larger areas. Recovery services can include financial assistance, access to capital supports, contracting and procurement assistance, marketing, operations, and business development, export and importing, and industry specific training, among other areas of technical assistance to aid businesses in stabilization and expansion. ",1
U.S. Department of Health and Human Services,0,,Unsure,Unsure,Family/Household,True,Category 1,Category 2,Funding Flow,"$15,000,000","Local Government, State Government, Service Organization, Tribal Government/Territory ",0,Category 1,Funding Recipient,0,1,0,Unsure,Community-Based Mobile Crisis Intervention,Category 1,False,Service Organization,State Government,Closing Health Disparities,Total Funding,Tribal Government,"FY2021 Family Violence Prevention and Services Program Act (FVPSA) American Rescue Plan (ARP) Supplemental Funding Program: State Government, Tribal Government/Territory



2021 FVPSA ARP COVID-19 Testing, Vaccines, and Mobile Health Units Access (COVID-19): State Government, Tribal Government/Territory (252 tribes, 1,500 domestic violence programs, and 1,400 sexual assault programs).



2021 FVPSA ARP Grants to Support Survivors of Sexual Assault Program: State Government, Tribal Government/Territory, Service Organization 



2021 FVPSA ARP Support for Survivors of Domestic Violence and Sexual Assault from Culturally Specific Population Grant Program: State Government, Tribal Government/Territory, Service Organization","State Planning Grants 9813 (e): The American Rescue Plan (ARP) amended Title XIX of the Social Security Act by adding a section which authorizes CMS (Centers for Medicare and Medicaid Services) to make funding available for implementing, administering, and making planning grants to states to prepare for implementing qualifying community-based mobile crisis intervention services. CMS issued 20 planning grants to states totaling $15 million. 

Increased  Federal Medical Assistance Percentage (FMAP) (a) - (d): This state option provides funding for enhanced payments for qualifying community-based mobile crisis intervention services for Medicaid enrollees experiencing a mental health or substance use disorder (SUD) crisis. Additionally, states would have the option to provide qualifying community-based mobile crisis intervention services for a period of up to five years, from April 1, 2022 through March 31, 2027 to implement the qualifying community-based mobile crisis intervention services in their Medicaid programs.

",1
U.S. Department of Treasury,0,,Unsure,Unsure,0,True,Category 3,Category 1,Funding Flow,"$350,000,000,000","State Government, Local Government, County Government, Tribal Government/Territory.",0,Category 3,Funding Recipient,Local Government,1,0,Unsure,Coronavirus State and Local Fiscal Recovery Funds,Category 4,False,0,State Government,Ensuring an Equitable Recovery for all Communities and Small Businesses,Total Funding,Tribal Government,"State Government, Local Government, County Government, Tribal Government/Territory.","The American Rescue Plan Act of 2021 (ARPA) established the Coronavirus State and Local Fiscal Recovery Funds (SLFRF), which authorizes the U.S. Treasury to provide $350 billion in payments to state, local, territorial, and tribal governments to mitigate the fiscal effects of the COVID-19 pandemic. The ARPA specifies that SLFRF recipients may use the funds across four categories to: 1) Respond to the COVID-19 public health emergency and its negative economic impacts; 2) Provide premium pay to essential workers or grants to employers with essential workers; 3) Provide government services to the extent of lost revenue due to the COVID-19 emergency; or 4) Make necessary investments in water, sewer, or broadband infrastructure.",1
Federal Emergency Management Agency,0,Implementation,Implementation,Implementation,Family/Household,True,Category 3,Category 1,Funding Flow,,"Individual, Family, Service Organization",Individual,Category 3,Funding Recipient,0,1,0,Implementation,COVID-19 Funeral Assistance,Category 5,True,Service Organization,0,Lowering Barriers to Work and Providing Security to Working Families,Total Funding,0,"Individual, Family, Service Organization","COVID-19 funeral assistance was first established in April 2021 under the Consolidated Appropriates Act, 2021 to be administered by the Federal Emergency Management Agency (FEMA). The $50 billion appropriation under the American Rescue Plan (ARP) Act to FEMA provided additional funding for COVID-19 funeral assistance (ARP, however, does not specify a funding limit). 
Created as a part of the “Other Needs Assistance” of FEMA’s Individuals and Households Program, COVID-19 funeral assistance provides financial assistance to individuals or households for the full costs (up to $9,000) associated with funeral expenses for an individual who died of COVID-19-related causes starting on January 20, 2020 (with no income limits for assistance). In addition, under the ARP, funeral assistance requirements were updated to allow for extended timelines for applying for assistance and for providing the required documentation. 
",1
Federal Emergency Management Agency,0,Implementation,Implementation,Implementation,Family/Household,True,Category 3,Category 3,Funding Flow,,"Individual, Family, Service Organization",Individual,Category 3,Funding Recipient,0,1,0,Implementation,COVID-19 Funeral Assistance,Category 5,True,Service Organization,0,Lowering Barriers to Work and Providing Security to Working Families,Total Funding,0,"Individual, Family, Service Organization","COVID-19 funeral assistance was first established in April 2021 under the Consolidated Appropriates Act, 2021 to be administered by the Federal Emergency Management Agency (FEMA). The $50 billion appropriation under the American Rescue Plan (ARP) Act to FEMA provided additional funding for COVID-19 funeral assistance (ARP, however, does not specify a funding limit). 
Created as a part of the “Other Needs Assistance” of FEMA’s Individuals and Households Program, COVID-19 funeral assistance provides financial assistance to individuals or households for the full costs (up to $9,000) associated with funeral expenses for an individual who died of COVID-19-related causes starting on January 20, 2020 (with no income limits for assistance). In addition, under the ARP, funeral assistance requirements were updated to allow for extended timelines for applying for assistance and for providing the required documentation. 
",1
U.S. Department of Commerce,0,Unsure,Unsure,Unsure,0,True,Category 2,Category 1,Funding Flow,"$3,000,000,000","State Government, Tribal Government/Territory",0,Category 2,Funding Recipient,0,1,0,Unsure,Economic Adjustment Assistance,Category 6,False,0,State Government,Ensuring an Equitable Recovery for all Communities and Small Businesses,Total Funding,Tribal Government,"State Government, Tribal Government/Territory","Build Back Better Regional Challenge: The American Rescue Plan (ARP) Act of 2021 provided $3 billion to the U.S Economic Development Administration (EDA) to administer supplemental economic development programs to improve the economy. 

EDA’s American Rescue Plan grant programs include the Build Back Better Regional Challenge (BBBRC), a national competition to grow new regional industry clusters or scale existing ones. The BBBRC program aimed to transform regional economies through a collection of complementary construction and non-construction projects organized under a singular vision designed to grow new industries and scale existing ones. The program ultimately awarded $1 billion in funding to 21 regional coalitions to support local industry development and growth. Moreover, $100 million of BBBRC funding went to help coal communities as part of the Biden Administration’s Coal Communities Commitment. 

Good Jobs Challenge: The ARP provided $3 billion to the EDA to administer supplemental economic development programs to improve the economy. 

EDA’s ARP grant programs include the Good Jobs Challenge (GJC), which funded regional workforce training systems and sectoral partnerships nationwide. The GJC encouraged systems and partnerships to address populations with labor market barriers, such as persons with disabilities, at-risk youth, individuals in recovery, individuals with past criminal records, including justice?impacted and reentry participants, and veterans.

The EDA ultimately awarded $500 million across 32 awardees to develop and grow industry-led workforce training partnerships. 

Indigenous Communities Challenge:  The ARP provided $3 billion to the EDA to administer supplemental economic development programs to improve the economy. 

EDA’s ARP programs include the Indigenous Communities Program (ICP), which aims to assist Indigenous communities in recovering economically from the coronavirus pandemic by providing funding for economic development activities. 

Statewide Planning, Research, & Networks Program (SPRNP): The ARP provided $3 billion to the EDA to administer supplemental economic development programs to improve the economy. 

EDA’s ARP programs include the Statewide Planning, Research and Networks program (SPRNP). This $90M initiative supported three types of projects:  strategic planning, research, and establishing networks.

1. Statewide Planning Grants: Funded activities that assists in economic planning such as creating economic development plans, aligning disparate local and regional plans, analyzing economic needs in an area, facilitating coordination of local planning efforts with Tribes or other indigenous communities, and conducting a statewide skill assessment.

2. ARPA-related Research: Funded research and evaluation of economic development theory, best practices, and development of tools for economic development practitioners. Also supports real-time research into EDA ARPA programs. 

3. Networks: Funded the creation of networks of grantees that share similar programmatic, functional, and/or organizational focus. These networks are called Communities of Practice and grantees involved in these networks engage in a mix of peer-to-peer learning, issue-specific trainings and targeted coaching.

Travel, Tourism, & Outdoor Recreation Program (TTORP): The ARP provided $3 billion to the EDA to administer supplemental economic development programs to improve the economy. 

EDA's ARP programs include the Travel, Tourism, & Outdoor Recreation Program (TTORP), which funded two grant programs: 1) State Tourism Grants ($510 million): Direct awards aimed at helping states invest in marketing, infrastructure, workforce, and other projects to rejuvenate safe leisure, business, and international travel; and 2) Competitive Grants ($240 million): To help communities that have been hardest hit by challenges facing the travel, tourism, and outdoor recreation sectors to invest in infrastructure, workforce, or other projects to support the recovery of the industry and economic resilience of the community in the future.",1
U.S. Department of Education,Business,Implementation,Implementation,Implementation,0,True,Category 1,Category 1,Funding Flow,"$122,774,800,000",Business,0,Category 1,Funding Recipient,0,1,0,Implementation,Elementary and Secondary School Emergency Relief Fund,Category 1,False,0,0,Investing in Equity and Opportunity for our Children and Young Adults,Total Funding,0,Business,"The American Rescue Plan (ARP) Act’s Elementary and Secondary School Emergency Relief Fund (ARP ESSER) provided $122 billion in funds to states and school districts to help safely reopen and operate schools and address the impact of the coronavirus pandemic on students’ learning and mental health. ARP ESSER also provided $800 million to states and school districts to identify and provide wrap-around services to homeless children and youth, and to enable them to attend school and participate fully in school activities. These funds are in addition to previous COVID-19 relief funding designated for schools, including $13.2 billion from the Coronavirus Aid Relief, and Economic Security (CARES) Act and $54.3 billion from the Coronavirus Response and Relief Supplemental Appropriations Act (CRRSA).",1
U.S. Department of Education,Business,Implementation,Implementation,Implementation,0,True,Category 1,Category 3,Funding Flow,"$122,774,800,000",Business,0,Category 1,Funding Recipient,0,1,0,Implementation,Elementary and Secondary School Emergency Relief Fund,Category 1,False,0,0,Investing in Equity and Opportunity for our Children and Young Adults,Total Funding,0,Business,"The American Rescue Plan (ARP) Act’s Elementary and Secondary School Emergency Relief Fund (ARP ESSER) provided $122 billion in funds to states and school districts to help safely reopen and operate schools and address the impact of the coronavirus pandemic on students’ learning and mental health. ARP ESSER also provided $800 million to states and school districts to identify and provide wrap-around services to homeless children and youth, and to enable them to attend school and participate fully in school activities. These funds are in addition to previous COVID-19 relief funding designated for schools, including $13.2 billion from the Coronavirus Aid Relief, and Economic Security (CARES) Act and $54.3 billion from the Coronavirus Response and Relief Supplemental Appropriations Act (CRRSA).",1
