"Topic","Topic (short)","Program","Agency","Agency (short)","Program Type","Intended Population","Funding Recipient(s)","Funding Flow (if includes grantees and subgrantees)","Funding Level","Tool Tip for Funding level"
"Closing Health Disparities","Health","Family Violence Prevention and Services Program","U.S. Department of Health and Human Services","HHS","Block grant, Discretionary grant","Survivors of domestic violence and sexual assault","State govts, Tribal govts/territories, Service orgs/non-profits","State to local","200000000","This is the total funding across FVPSA grant programs, FVPSA grants, and the National Domestic Hotline."
"Closing Health Disparities","Health","Health Insurance Premium Tax Credit","U.S. Department of Health and Human Services","HHS","Tax incentive","Low-income persons/families, Minoritized groups","Individuals, Families","Direct to individual","N/A",NA
"Closing Health Disparities","Health","Medicaid and CHIP Coverage for Pregnant and Postpartum Individuals","U.S. Department of Health and Human Services","HHS","Entitlement program","Low-income persons/families","State govts","State to individual","N/A",NA
"Closing Health Disparities","Health","Community-Based Mobile Crisis Intervention","U.S. Department of Health and Human Services","HHS","Discretionary grant","Low-income persons/families","State govts","Federal to grantee/awardee","15000000",NA
"Closing Health Disparities","Health","WIC Modernization","U.S. Department of Agriculture","USDA","Discretionary grant","Low-income persons/families, Minoritized groups, Infants and children, Pregnant and postpartum individuals","State govts, Tribal govts/territories, Service orgs/non-profits","Federal to grantee/awardee","390000000",NA
"Closing Health Disparities","Health","Prevention and Treatment of Substance Abuse","U.S. Department of Health and Human Services","HHS","Block grant","Minoritized groups, Unhoused (homeless) individuals, Low-income persons/families","State govts, Tribal govts/territories","State to local","1500000000",NA
"Closing Health Disparities","Health","Increase in Access to Home and Community Based Services","U.S. Department of Health and Human Services","HHS","Entitlement program","Low-income persons/families, People with disabilities, Older people, People with mental health and substance use disorders","State govts","Federal to grantee/awardee","N/A",NA
"Ensuring an Equitable Recovery for all Communities and Small Businesses","Communities","Coronavirus State and Local Fiscal Recovery Funds","U.S. Department of Treasury","Treasury","Block grant","Low-income persons/families, Minoritized groups, People with disabilities, Historically underutilized businesses/businesses","State govts, Local govts, Tribal govts/territories","Federal to state, Federal to local, Federal to tribal/territorial","350000000000",NA
"Ensuring an Equitable Recovery for all Communities and Small Businesses","Communities","Restaurant Revitalization Fund","U.S. Small Business Administration","SBA","Direct payment for specified use","Historically underutilized businesses/businesses","Businesses","Federal to grantee/awardee","28600000000",NA
"Ensuring an Equitable Recovery for all Communities and Small Businesses","Communities","Economic Adjustment Assistance","U.S. Department of Commerce","DOC","Block grant","Low-income persons/families, Historically underutilized businesses/businesses, Minoritized groups","State govts, Local govts, Tribal govts/territories, Service orgs/non-profits, Institutions of higher education, Special district govts, Indigenous communities","State to local","3000000000",NA
"Ensuring an Equitable Recovery for all Communities and Small Businesses","Communities","Paycheck Protection Program","U.S. Small Business Administration","SBA","Forgivable loan","Historically underutilized businesses/businesses","Businesses, Service orgs/non-profits, Individuals","Direct to individual","806450000000",NA
"Ensuring an Equitable Recovery for all Communities and Small Businesses","Communities","USDA Assistance and Support for Farmers, Ranchers, Forest Landownders, and Operators, and Groups","U.S. Department of Agriculture","USDA","Cooperative agreement","Historically underutilized businesses/businesses, Low-income persons/families, Minoritized groups","Service orgs/non-profits, Institutions of higher education","Federal to grantee/awardee","1010000000",NA
"Ensuring an Equitable Recovery for all Communities and Small Businesses","Communities","National Endowment for the Arts","National Endowment for the Arts","NEA","Discretionary grant","Minoritized groups, Historically underutilized businesses/businesses, People with disabilities, Low-income persons/families","Service orgs/non-profits, State govts, Local govts, Tribal govts/territories","State to local, State to local to individual or organization, Local to individual or organization, Federal to grantee/awardee, Federal to local","135000000",NA
"Ensuring an Equitable Recovery for all Communities and Small Businesses","Communities","Community Navigator Pilot Program","U.S. Small Business Administration","SBA","Discretionary grant","Historically underutilized businesses/businesses","Service orgs/non-profits, State govts, Local govts, Institutions of higher education, Tribal govts/territories","Federal to grantee/awardee","100000000",NA
